Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Direct Request: Unmediated	Direct Request: Mediated	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
SANTA FE PUB LIBR	SFP	NM	Public	3	3	0	1	1	0	2	0	0	1:00:00	1:00:00	0:00:00
SANTA FE SPRINGS LIBR	SFS	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SCENIC REGN LIBR	MZ7	MO	Public	6	6	1	3	3	0	2	0	0	3:00:00	3:00:00	0:00:00
SCHAUMBURG TOWNSHIP DIST LIBR	GO9	IL	Public	2	2	0	2	2	0	1	0	0	1:00:00	1:00:00	0:00:00
SCHOOL OF THE ART INST OF CHICAGO LIBR	ILO	IL	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SCHOOL OF VISUAL ARTS LIBR	ZVT	NY	Academic	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
SCOTTSDALE PUB LIBR	AZD	AZ	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
SCRANTON PUB LIBR	SCR	PA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SEASIDE PUB LIBR	XV9	OR	Public	16	16	0	14	14	0	2	0	0	0:06:58	0:06:58	0:00:00
SEATTLE PACIFIC UNIV LIBR	OXF	WA	Academic	14	14	0	9	9	0	5	0	0	1:13:26	1:13:26	0:00:00
SEATTLE PUB LIBR	UOK	WA	Public	71	71	1	46	46	0	25	0	0	1:12:58	1:12:58	0:00:00
SEATTLE UNIV	WSE	WA	Academic	6	6	0	5	5	0	1	0	0	0:00:00	0:00:00	0:00:00
SEDONA PUB LIBR	FY3	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SHERIDAN CNTY LIBR	YMZ	MT	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
SHERIDAN COL	S2@	WY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SHORTER UNIV	ZJB	GA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SIDNEY RICHLAND PUB LIBR	YNW	MT	Public	2	2	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SIUSLAW PUB LIBR DIST	SIUSL	OR	Public	4	4	0	1	1	0	3	0	0	2:00:00	2:00:00	0:00:00
SKAGIT VAL COLL LIBR MEDIA CTR	Z74	WA	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
SKIDMORE COL	VZS	NY	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
SMITHSONIAN INSTITUTION	SMI	DC	Federal/Natl Government	5	5	0	4	4	0	0	0	0	0:12:00	0:12:00	0:00:00
SNO-ISLE LIBRS	OEM	WA	Public	25	25	0	14	14	0	12	0	0	2:13:41	2:13:41	0:00:00
SOUTH CAROLINA STATE LIBR	DSC	SC	State Library	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
SOUTH CENT LIBR SYST	WIM	WI	Public	10	10	0	6	6	0	4	0	0	6:12:00	6:12:00	0:00:00
SOUTH DAKOTA STATE LIBR	SDS	SD	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SOUTH PLAINS COL LIBR	LEV	TX	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
SOUTH PUGET SOUND COMMUN COL	Z@2	WA	"Junior, Community, Technical Colleges"	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SOUTHEAST KENTUCKY COM & TECH COLL LIBR	KUS	KY	"Junior, Community, Technical Colleges"	0	0	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
"SOUTHERN METHODIST UNIV, CENT LIBR"	ISM	TX	Academic	4	4	0	1	1	0	3	0	0	1:00:00	1:00:00	0:00:00
SOUTHERN UTAH UNIV LIBR	UUA	UT	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SOUTHWEST PUB LIBR	OGC	OH	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SPOKANE CNTY LIBR DIST	WSN	WA	Public	28	28	0	15	15	0	13	0	0	3:20:53	3:20:53	0:00:00
SPOKANE PUB LIBR	UAG	WA	Public	9	9	0	2	2	0	7	0	0	6:12:00	6:12:00	0:00:00
SPRINGFIELD CITY LIBR	WRS	MA	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
STATE LIBR OF KANSAS	KKC	KS	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
STATE LIBR OF LOUISIANA	LSL	LA	State Library	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
STATE LIBR OF OHIO	OHI	OH	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
STATE LIBR OF OREGON	OSO	OR	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
STATESBORO REG LIBR	ZHT	GA	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
STETSON UNIV	FDS	FL	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SUNY COL AT ONEONTA	ZBM	NY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
SUNY COL AT PURCHASE	ZPM	NY	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
TACOMA PUB LIBR	TAW	WA	Public	35	35	1	13	13	0	21	0	0	1:11:02	1:11:02	0:00:00
TARLETON STATE UNIV	TTS	TX	Academic	1	1	0	1	0	1	0	0	0	0:00:00	0:00:00	0:00:00
TEXAS A&M INT UNIV	TLS	TX	Academic	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
TEXAS A&M UNIV CENT TEXAS	TAMCT	TX	Academic	2	2	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
"TEXAS A&M UNIV, KINGSVILLE"	TAI	TX	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
TEXAS STATE LIBR & ARCHIVES COMN	IKM	TX	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
TEXAS STATE UNIV-SAN MARCOS	TXI	TX	Academic	7	7	0	5	5	0	2	0	0	1:04:48	1:04:48	0:00:00
TEXAS TECH UNIV	ILU	TX	Academic	6	6	0	6	6	0	0	0	0	0:00:00	0:00:00	0:00:00
TEXAS WOMAN'S UNIV LIBR	IWU	TX	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
THE CLAREMONT COLLEGES	HDC	CA	Academic	4	4	0	1	0	1	3	0	0	0:00:00	0:00:00	0:00:00
THE COLL OF ST SCHOLASTICA LIBR	MNS	MN	Academic	2	2	0	2	2	0	0	0	0	0:00:00	0:00:00	0:00:00
THE LIBRS OF STEVENS CNTY	LZS	WA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
THE MASTERS UNIV	MXL	CA	Academic	1	1	0	1	1	0	0	0	0	7:00:00	7:00:00	0:00:00
THOMAS CNTY PUB LIBR SYST	ZHU	GA	Public	2	2	0	1	1	0	1	0	0	3:00:00	3:00:00	0:00:00
THOMPSON-HICKMAN CNTY LIBR	THV	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
"THREE RIVERS PUB LIBR DIST, CHANNAHON"	TG3	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
TILLAMOOK CNTY LIBR	TCO	OR	Public	5	5	0	4	4	0	1	0	0	0:00:00	0:00:00	0:00:00
TIMBERLAND REG LIBR	UOJ	WA	Public	15	15	1	13	13	0	0	0	0	3:05:31	3:05:31	0:00:00
TOM GREEN CNTY LIBR SYST	QT5	TX	Public	2	2	0	2	2	0	0	0	0	1:00:00	1:00:00	0:00:00
TOOLE CNTY LIBR	YVU	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
TOPEKA & SHAWNEE CNTY PUB LIBR	KTP	KS	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
TORRANCE PUB LIBR	CGI	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
TRANSYLVANIA UNIV	KTU	KY	Academic	2	2	0	2	2	0	0	0	0	1:00:00	1:00:00	0:00:00
TREASURE VAL COMMUN COL	TVC	OR	"Junior, Community, Technical Colleges"	4	4	0	4	4	0	0	0	0	0:18:00	0:18:00	0:00:00
TRINITY COLL LIBR	TYC	CT	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
"TRINITY UNIV, COATES LIBR"	TNY	TX	Academic	2	2	0	2	2	0	0	0	0	0:12:00	0:12:00	0:00:00
TRUCKEE MEADOWS COMMUN COL	NTF	NV	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
TRUTH OR CONSEQUENCES PUB LIBR	DY3	NM	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
TUFTS UNIV	TFW	MA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
"TULARE CNTY, FREE LIBR SYST"	TCB	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
TWIN FALLS PUB LIBR	Y#4	ID	Public	5	5	0	0	0	0	5	0	0	0:00:00	0:00:00	0:00:00
TYLER PUB LIBR	QT7	TX	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
U.S. ARMY PICATINNY	ADD	NJ	Federal/Natl Government	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UC HASTINGS COLL OF THE LAW	CUH	CA	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
UNIV OF AKRON	AKR	OH	Academic	1	1	0	1	1	0	0	0	0	7:00:00	7:00:00	0:00:00
"UNIV OF ALASKA, ELMER E RASMUSON LIBR"	UAF	AK	Academic	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
